topic,aspect,difference,delta,mean,mean_others,diff_mean,med,med_others,diff_med,websites,post_type
Movement,n_responses,,,,,,,,,unity/ue4,questions
Movement,len_text,,,,,,,,,unity/ue4,questions
Movement,is_answered,,,,,,,,,unity/ue4,questions
Movement,is_resolved,less,negligible,,,,,,,unity/ue4,questions
Movement,has_code,greater,large,0.5568902632413575,0.06731583403895004,-0.48957442920240746,1.0,0.0,-1.0,unity/ue4,questions
Game engines,n_responses,less,negligible,,,,,,,unity/ue4,questions
Game engines,len_text,less,negligible,,,,,,,unity/ue4,questions
Game engines,is_answered,less,negligible,,,,,,,unity/ue4,questions
Game engines,is_resolved,less,negligible,,,,,,,unity/ue4,questions
Game engines,has_code,greater,negligible,,,,,,,unity/ue4,questions
Game objects,n_responses,greater,negligible,,,,,,,unity/ue4,questions
Game objects,len_text,,,,,,,,,unity/ue4,questions
Game objects,is_answered,,,,,,,,,unity/ue4,questions
Game objects,is_resolved,less,negligible,,,,,,,unity/ue4,questions
Game objects,has_code,greater,medium,0.5625394819962097,0.14487632508833923,-0.4176631569078705,1.0,0.0,-1.0,unity/ue4,questions
GUI,n_responses,,,,,,,,,unity/ue4,questions
GUI,len_text,,,,,,,,,unity/ue4,questions
GUI,is_answered,,,,,,,,,unity/ue4,questions
GUI,is_resolved,less,negligible,,,,,,,unity/ue4,questions
GUI,has_code,greater,medium,0.469826832254679,0.055798542080848244,-0.4140282901738308,0.0,0.0,0.0,unity/ue4,questions
File management,n_responses,,,,,,,,,unity/ue4,questions
File management,len_text,,,,,,,,,unity/ue4,questions
File management,is_answered,,,,,,,,,unity/ue4,questions
File management,is_resolved,less,negligible,,,,,,,unity/ue4,questions
File management,has_code,greater,negligible,,,,,,,unity/ue4,questions
Character animation,n_responses,less,negligible,,,,,,,unity/ue4,questions
Character animation,len_text,,,,,,,,,unity/ue4,questions
Character animation,is_answered,less,negligible,,,,,,,unity/ue4,questions
Character animation,is_resolved,less,negligible,,,,,,,unity/ue4,questions
Character animation,has_code,greater,small,0.34364599446866356,0.047552707346521776,-0.2960932871221418,0.0,0.0,0.0,unity/ue4,questions
Collisions,n_responses,,,,,,,,,unity/ue4,questions
Collisions,len_text,,,,,,,,,unity/ue4,questions
Collisions,is_answered,,,,,,,,,unity/ue4,questions
Collisions,is_resolved,less,negligible,,,,,,,unity/ue4,questions
Collisions,has_code,greater,medium,0.4304761046799694,0.05913978494623656,-0.3713363197337328,0.0,0.0,0.0,unity/ue4,questions
FX,n_responses,,,,,,,,,unity/ue4,questions
FX,len_text,,,,,,,,,unity/ue4,questions
FX,is_answered,,,,,,,,,unity/ue4,questions
FX,is_resolved,less,negligible,,,,,,,unity/ue4,questions
FX,has_code,greater,small,0.3995403179467535,0.07171314741035857,-0.32782717053639493,0.0,0.0,0.0,unity/ue4,questions
Bug reports,n_responses,less,negligible,,,,,,,unity/ue4,questions
Bug reports,len_text,,,,,,,,,unity/ue4,questions
Bug reports,is_answered,less,negligible,,,,,,,unity/ue4,questions
Bug reports,is_resolved,less,negligible,,,,,,,unity/ue4,questions
Bug reports,has_code,greater,small,0.3704879856038954,0.09002825999192572,-0.2804597256119697,0.0,0.0,0.0,unity/ue4,questions
Game mechanics,n_responses,greater,negligible,,,,,,,unity/ue4,questions
Game mechanics,len_text,,,,,,,,,unity/ue4,questions
Game mechanics,is_answered,,,,,,,,,unity/ue4,questions
Game mechanics,is_resolved,less,negligible,,,,,,,unity/ue4,questions
Game mechanics,has_code,greater,medium,0.4874234118026443,0.04963144963144963,-0.4377919621711947,0.0,0.0,0.0,unity/ue4,questions
Runtime,n_responses,less,negligible,,,,,,,unity/ue4,questions
Runtime,len_text,greater,negligible,,,,,,,unity/ue4,questions
Runtime,is_answered,less,negligible,,,,,,,unity/ue4,questions
Runtime,is_resolved,less,negligible,,,,,,,unity/ue4,questions
Runtime,has_code,greater,small,0.2245885769603098,0.0766743648960739,-0.14791421206423588,0.0,0.0,0.0,unity/ue4,questions
Meshes,n_responses,less,negligible,,,,,,,unity/ue4,questions
Meshes,len_text,greater,negligible,,,,,,,unity/ue4,questions
Meshes,is_answered,less,negligible,,,,,,,unity/ue4,questions
Meshes,is_resolved,less,negligible,,,,,,,unity/ue4,questions
Meshes,has_code,greater,small,0.24813029749044374,0.050397877984084884,-0.19773241950635886,0.0,0.0,0.0,unity/ue4,questions
General errors,n_responses,,,,,,,,,unity/ue4,questions
General errors,len_text,,,,,,,,,unity/ue4,questions
General errors,is_answered,,,,,,,,,unity/ue4,questions
General errors,is_resolved,less,negligible,,,,,,,unity/ue4,questions
General errors,has_code,greater,small,0.6264333845608228,0.38615847542627885,-0.2402749091345439,1.0,0.0,-1.0,unity/ue4,questions
Event handling,n_responses,,,,,,,,,unity/ue4,questions
Event handling,len_text,,,,,,,,,unity/ue4,questions
Event handling,is_answered,,,,,,,,,unity/ue4,questions
Event handling,is_resolved,less,negligible,,,,,,,unity/ue4,questions
Event handling,has_code,greater,medium,0.5234030026493965,0.1248303934871099,-0.39857260916228665,1.0,0.0,-1.0,unity/ue4,questions
General programming,n_responses,less,negligible,,,,,,,unity/ue4,questions
General programming,len_text,,,,,,,,,unity/ue4,questions
General programming,is_answered,less,negligible,,,,,,,unity/ue4,questions
General programming,is_resolved,less,negligible,,,,,,,unity/ue4,questions
